alpha,beta,gamma,gamma_beta_ratio,r_d1,r_d1_std,r_d2,r_d2_std,r_d3,r_d3_std,r_d4,r_d4_std,modularity,modularity_std,edr_assort,edr_assort_std,contrast_cross,contrast_cross_std,delta_contrast,delta_contrast_std,delta_comparator,delta_comparator_std,loss,loss_std
0.25,0.007,0.004,0.5714285714285714,0.7176446797094592,0.04158032688370231,0.5997645839632197,0.06740874810245807,0.4320805237010922,0.10340128026062638,-0.5965964138355467,0.050164824556485875,0.4430316981852037,0.008986785895011323,0.44310034920618674,0.03928075289723267,0.8428588041009759,0.04121735285183096,0.5992661816059794,0.021352741088210985,0.11096479154548575,0.003513485835136999,0.6651033023590678,0.07394197024242023
0.25,0.005,0.004,0.8,0.7078073911292614,0.03717285998565997,0.6208357877130267,0.05800109771660166,0.43557776232970696,0.12289591656190446,-0.6066506681405699,0.058991078438780105,0.44511264265372086,0.008457641202040482,0.44470545595424066,0.040664210830615444,0.8177786299100432,0.04001360934388927,0.6005107265873774,0.025313080703057447,0.11436739966741924,0.004190023567763297,0.6655327285312895,0.0914717555315286
0.22,0.005,0.01,2.0,0.5640569261490623,0.04875559461574701,0.5132473374677636,0.06103124202517239,0.34990102916638377,0.11181121091933277,-0.5170194921214507,0.06951579338911415,0.4448799695650125,0.009264987111481068,0.33556941472441176,0.03263159110480768,0.7527586746729327,0.03625976592668417,0.6778869291559458,0.021300417144430754,0.12093461070404916,0.01072653083995803,0.6657481307652162,0.06675367450985473
0.28,0.007,0.004,0.5714285714285714,0.7115492188573311,0.04065017619989893,0.5901974470025438,0.05562214860192333,0.39272050281606957,0.09196762069399819,-0.5732773705241445,0.06433722872360109,0.4465443567989758,0.007212016361635854,0.43789689359988654,0.035287493964691476,0.8839491258733091,0.029417487433753334,0.6254349471058175,0.020842688046431038,0.1227736808182039,0.0043040183872617545,0.6697585955687664,0.10224340808637915
0.25,0.007,0.006,0.8571428571428571,0.6708286741234851,0.046082633782712594,0.5621720597455842,0.06618968933341292,0.3989192194421428,0.11115134042433227,-0.5683667300592856,0.059938186957941945,0.4433822508278132,0.010682917310497161,0.4068702879448674,0.03909504240534023,0.8329557015283893,0.040830306754555595,0.6585957127603712,0.023756884968744535,0.11909122291786592,0.005372063195046381,0.675253028238454,0.06840925960973507
0.25,0.005,0.008,1.6,0.6077280094603837,0.036750424138754983,0.553724498006298,0.055970863080905466,0.360288762140193,0.1270699746175061,-0.543267154996131,0.058514261781543765,0.4444916634248181,0.008259965910114993,0.3676144109246989,0.03534598139440979,0.798297175145834,0.04609984073726645,0.6907948233280452,0.023341496671480926,0.12800976345858944,0.006250570143712768,0.678233888729043,0.08277997439175346
0.25,0.007,0.008,1.1428571428571428,0.6235415374756872,0.04837915017483421,0.5360930770159549,0.06628924136028755,0.3736459118835825,0.10398944402979088,-0.5416140278450938,0.06498996198591547,0.4456615573980719,0.009937469283778191,0.37243652704350616,0.03891107915562757,0.8164065745278142,0.034651740628735585,0.7002049870334461,0.025589732300175597,0.12627625775717274,0.007605321048068295,0.6868963181198673,0.06843365259965244
0.28,0.003,0.004,1.3333333333333333,0.6818772321255715,0.03112448193402963,0.5816069512574821,0.048371010278458776,0.40862681367523346,0.12105301314932661,-0.5729311777068091,0.050857124576017286,0.44256571889912877,0.007097736124696941,0.417740545427268,0.027049021217446356,0.8702338936640265,0.03709816697497825,0.6294474435477265,0.0183610844387971,0.13129657852583518,0.004973661973081138,0.6872248299856802,0.06789233074848716
0.28,0.007,0.006,0.8571428571428571,0.6706441257996694,0.03871956395782494,0.5625308792260055,0.05365748645758167,0.372177965516019,0.09712310302288511,-0.5492239927111235,0.06357074117639397,0.4453286771702265,0.007913781375793816,0.40596320751824055,0.032015607532739535,0.8832603862875761,0.029087617088197855,0.689347705036041,0.023218279783081178,0.13094134825881396,0.005660867326418086,0.6973579056937169,0.09339717077730843
0.3,0.005,0.004,0.8,0.6994726815336507,0.035784456151665804,0.5811802884693991,0.05824402724632822,0.37674706614353515,0.09530224060120009,-0.5665673140390549,0.06349225183344628,0.44435370984074474,0.008601214166697955,0.4268364636950002,0.032512366883731846,0.9125297396915822,0.02630746890767934,0.6474569265154483,0.019274053864001967,0.13421006448406966,0.004929698311392529,0.7072334846938895,0.08671718514430303
0.28,0.007,0.008,1.1428571428571428,0.6266155422363356,0.03987408130545419,0.5294031504657298,0.05948782167948792,0.35289946464583083,0.09790077731000592,-0.5160382721928496,0.0672611700945033,0.4464086695127861,0.00939814703112553,0.371940126601566,0.029992925080224705,0.8681916683620013,0.02928939950471267,0.7317360732260944,0.02398612546127858,0.1370015209731989,0.006647887928732371,0.7130610735939037,0.09793184837384668
0.28,0.003,0.006,2.0,0.6309467924773703,0.029448873453443377,0.5480776987562539,0.05691425561090598,0.38358594011876324,0.13406205110577457,-0.5436681421243958,0.051558399653151885,0.44466364066608277,0.008005554081763464,0.3802140103853527,0.025499119864631842,0.8596580125589762,0.038947931503013004,0.690493555867706,0.022521693963174855,0.14128609580008245,0.005341258463454845,0.7145236146386861,0.06786878984234239
0.25,0.007,0.01,1.4285714285714286,0.5778538305944931,0.050795188861885894,0.5072425457494429,0.06919509785896996,0.3455693689772277,0.10371102564078735,-0.5194546609127435,0.062135752990360484,0.4456044962439286,0.007126541549438757,0.34025954418549736,0.038719908570966646,0.8065547163638056,0.03245071955360529,0.724331381022897,0.025459959021927325,0.13072116701256337,0.009244356682380852,0.7175990258905722,0.07080615893450828
